term_str,0,1,2,3,4,5
herself,-0.11852272438422141,-0.007827169004050205,-0.024210336146638405,0.041621259908494836,0.048685403950821146,-0.010449654440853622
gave,-0.011952641339087485,-0.024538637635624413,0.00809919886255071,0.01596408262475394,0.03031651672739579,0.03213252945237241
white,0.04492003899655208,-0.025716039077654584,-0.023904486755197143,0.05647500521683644,0.025468840896317516,0.04673891009047195
began,-0.01354538954810371,-0.02501620123633583,0.009010059472327166,0.016924652947157004,0.0014309227766567596,0.03888626482029466
called,0.010950932851498443,-0.032340575597331646,-0.005115029597237792,0.017750095173091954,0.006146672591096252,0.017037177554554743
mr,-0.24956874405599216,-0.04206863184643538,-0.05112329057311003,-0.02098489837172527,-0.26180692112517084,0.05956334783584254
because,-0.009406953253049185,0.0031742645477480223,-0.00817622696321844,-0.01544035300998022,-0.013352524543600494,0.035809388142185664
also,0.013559234458931648,-0.022619903969302305,-0.0022232766987868827,0.009772241924820941,0.011831366492453522,0.013859689185412189
eye,0.012009659201605516,-0.002630124712800253,0.011728962237413093,0.024635641813751306,-0.0044994624949220505,0.031188349041544963
yes,-0.02724423549333909,0.0039195508598578125,0.008217379402614975,0.007320313843939078,-0.07825698121673152,0.0811481506287192
cannot,-0.04397854472832745,-0.015994046425070227,-0.014969473628179082,-0.019264129227930027,-0.049024308133933214,0.018119964311966406
course,-0.009311716581194495,-0.02491425120138505,0.0017880948662868587,0.009736541778034999,0.009250482972208344,0.021317814632021037
full,0.015218126596738773,-0.0013119049128734975,0.00408678099002496,0.0018684824400273588,0.01917307688750347,0.04129808119776407
least,-0.010614035745834194,-0.017459864612112366,0.0007742677988674322,-0.003189593828874586,-0.0023083251273791025,0.027036043226197955
often,-0.005370799162266124,-0.02164135501667668,0.0034660211508735195,0.00022264278354509258,0.021753678183234572,0.012520738865464143
taken,-0.004543911005249481,-0.02146926584086657,0.0011492720603527007,0.006439266502767112,0.0007193033219179039,0.013231141461411713
dear,-0.07342173690660601,0.01712585398932973,0.004710535870101849,-0.032808706847228274,-0.09627835586911895,0.03401575831203813
else,-0.01285164276732352,-0.012376178964586199,0.004881326196677817,0.004383823074092008,-0.010787012588045743,0.039193217328022056
hour,-0.011520342172859976,-0.005002755893961743,0.008056027944634194,0.011574396974653012,0.009584760454844554,0.022224536641769568
done,-0.01814715467931908,-0.018384449021778517,-0.0009637674111652986,0.018718442126696662,-0.008597161481669028,0.030439481921948456
strange,0.01659580418604045,0.003907446315362839,0.0037875519881276835,0.02718057707449855,0.04652609481887262,0.045302947563405194
reason,-0.007229785296607513,-0.018515474728031254,-0.005147343696542603,-0.004480055566065727,-0.003546021054813924,0.012149075088305462
water,0.04715094122547597,-0.05503253183666075,-0.023730725644465118,0.05180512103464212,0.06340266439545021,0.05617007930871777
each,0.0028985829851550762,-0.01823439967866649,0.0037464189106427206,0.008537419291084163,0.027523125816058428,0.025554996860831604
possible,-0.01968936319773181,-0.01412245965237012,0.004585404774141536,0.0006714905928953472,0.008725219084457489,0.010858175973772772
matter,-0.0029173531728032527,-0.015802994315291977,-0.005677305091456988,0.0038794821438734505,-0.0034552173149583706,0.02239758032420723
large,0.011304413401811741,-0.039794745632976136,0.0018857804011861812,0.008379552230848854,0.016415726985674457,0.026914306458978778
four,0.006492055654413772,-0.036643593003304824,0.004599164186255988,0.030550236544656696,0.0010947413585179542,0.0005539924801050944
enough,-0.02350900202867825,-0.022386880637257595,0.005408258949507417,0.013917040999424429,-0.016824646092413128,0.02522891969835446
right,0.0035719792595570537,-0.013204721549212251,-0.010079119083738344,0.015011330192772088,-0.007195112394630982,0.048614563359743075
left,-0.009152628596508191,-0.015120203345045982,0.012786830176275498,0.022965741747777275,0.01935265743860948,0.030202332502794096
light,0.01646214429167951,0.009103063606657089,0.01484432189593497,0.015329248417565307,0.03671924521631539,0.03450353807768865
either,-0.017853818392221305,-0.010549004772208279,0.002443385894839554,-0.0012861746595920847,-0.005646631602797007,0.020464089592956487
hardly,-0.016485245620042194,-0.019516916853603815,0.004304839570436873,0.007127115468140254,-0.010950417126251999,0.02282011374724864
mind,-0.019146729675338356,0.0006565725847792473,0.008671571709529357,-0.010664589985601564,0.00570738992143201,0.01690826498565818
person,-0.013640430317707368,-0.013113000760035458,0.016656608789313073,-0.008255507174228417,-0.006973237243707865,0.017736434880264777
hard,0.02249536162939264,-0.010632360527163206,0.016956368872753695,0.018296236467573553,0.0027900699608869642,0.029285604759229145
give,-0.026320754682314217,-0.014544792440993453,0.002012702444227041,0.009176463892032565,-0.023206880797695,0.036944608896923574
seen,0.0007273273044986262,-0.023787933501821543,-0.010071879197549686,0.01478652347398675,0.03071826983496384,0.03599755807245336
case,0.006918725976525032,-0.030652275090937812,-0.003657331370759997,-0.0037826869695856457,-0.026231257335467495,-0.0075139346830237624
present,-0.00851929810491019,-0.014208695174453582,0.006323749333046978,-0.015473670814825235,0.007661712046807375,0.022477642198321508
account,-0.012575490680086726,-0.014072672293708307,0.007572819945804593,-0.004733135942146397,0.0058804977616033335,0.01086931473985315
doubt,-0.016181279616561937,-0.016032069059669217,0.0028902241991857025,-0.0002446407856010119,-0.009975410746501873,0.02260285124301841
keep,0.0014860261365407061,-0.0163739046746886,-5.5070333689220176e-05,0.010128603428057327,-0.01952346055813542,0.025646725236673926
during,0.011665780717328168,-0.035871542466578636,0.023619825273144306,0.015103742507325822,0.02364897498026622,0.008580889827525456
heard,-0.00833084823001631,-0.0076917503410925715,0.005043236962193372,0.02792634983522154,-0.005298197494720552,0.03900599697357127
young,-0.030877172640896202,-0.018796455609147847,0.016666057869823576,-0.007733511809009818,-0.0007240713383355967,0.04287603647102388
subject,-0.03111247553276879,-0.010796529497202898,0.0007834664739979113,-0.013547452975302831,-0.010189886678640096,0.03305180922348473
better,-0.021328436641507974,-0.018051432426044126,0.012769724551295852,0.005292367143836089,-0.024399872605989453,0.03336161967412095
morning,-0.005584304106960926,-0.0216528234551452,0.024550601305014103,0.023551723859478544,0.012830998150477686,0.02732373584650741
itself,0.0128492280049743,-0.0010588041544464096,-0.0022324463258345246,-0.0032621715199992085,0.02507000389206347,0.025440313004410395
ship,0.07804892822745174,-0.171802863239586,-0.0729509531830914,0.19737228254349162,-0.03249334170525086,-0.017374905682007172
half,-0.009744667516715452,-0.007407785444233645,-0.004733531299194151,0.017182653920361307,0.001968803063841945,0.038667970560649044
friends,-0.022473882489922027,-0.004184992006195607,0.014429452542258145,-0.015141880213015307,-0.017946124864011037,0.017348395303456395
means,-0.011710108637065902,-0.015158727340733506,-0.0013793078723366853,-0.006446638463328699,0.00017244511514300678,0.013699045444143168
perhaps,-0.013309146943387024,-0.01908967363732753,0.0025030901238657184,0.0031962798604056645,-0.01018488939076834,0.031459497796206576
stood,0.021155274517386306,-0.014871850893607997,0.01951587119391934,0.047542664531223876,0.02636724504445886,0.03412829200943589
always,-0.034642203586733394,-0.02267315633374001,0.0014948347914314367,0.010679817046362767,-0.014768034883069813,0.019745534847908114
return,-0.017516839369115415,-0.01204457186694452,0.01397977587333574,0.0008872380427253208,0.011245711394766187,0.021577959280588997
mrs,-0.23143617880829898,-0.020662055520361253,-0.040180735635365235,0.00830784228351274,-0.06786285742115765,0.02006858221170171
lady,-0.09422499020038262,-0.005836443770153971,-0.0016170674152195424,-0.029243313650308505,-0.032156030084114696,-0.0760882240986497
family,-0.0524442152599261,-0.012510044571073428,-0.0021047641050147827,-0.008680973681773669,-0.006890403246309175,0.001780790479734896
really,-0.04265511949225367,-0.01213365858789207,-0.002202316470494108,-0.003848059334457765,-0.02959358886116834,0.03397761401954961
back,0.006139966309496981,-0.010221445260084576,0.0036922145668403703,0.020896305161259444,7.931294606783741e-06,0.05417727755257446
went,0.00806141819127347,-0.03183408402534053,0.027157188945504656,0.03897244549351853,0.01861383229224051,0.037011069569796926
several,0.018192315963615036,-0.05200592879147016,0.022450976482962796,0.00986533309814859,0.04645455711085205,0.02712687542222419
seeing,-0.018597941937966683,-0.019019701751338068,0.004631371696529966,0.009398441270951862,-0.0029493248632985144,0.019102138953088967
