topic_id,phi_sum,theta_sum,h,top_terms,label,genre_sea,genre_travel,genre_domestic,genre_historical,genre_gothic,auth_MELVILLE,auth_AUSTEN,title_REDBURN HIS FIRST VO,title_PIERRE OR THE AMBIGU,title_TYPEE A ROMANCE OF T,title_MARDI AND A VOYAGE T,title_THE CONFIDENCE MAN H,title_NORTHANGER ABBEY,title_WHITE JACKET OR THE ,title_LOVE AND FREINDSHIP ,title_LADY SUSAN,title_MANSFIELD PARK,title_MOBY DICK OR THE WHA,title_PRIDE AND PREJUDICE,title_OMOO ADVENTURES IN T,title_ISRAEL POTTER HIS FI,title_EMMA,title_PERSUASION,title_SENSE AND SENSIBILIT,author,genre,title
11,83096.65515706071,133.29227762704264,8.88,"could, said, know, much, think, mrs, never, may","11: could, said, know, much, think, mrs, never, may",0.008322595282705129,0.009104605446393105,0.38188370067208366,9.633729714968948e-05,0.0794282832222113,0.008756145480868088,0.37679507176139165,0.013801043396318605,0.012090424583834879,0.009179638210364311,0.003390313841224129,0.010294320514034429,0.32705782789237003,0.012983655548652207,0.26018713527324594,0.4690320006566378,0.4186464625404905,0.009088235744732746,0.3846336054690584,0.0077677094700182095,9.633729714968948e-05,0.3963692756388225,0.2148879220585792,0.39441315210128036,auth_AUSTEN,genre_domestic,title_LADY SUSAN
12,15648.189723495438,45.572514826143646,8.33,"old, house, little, book, never, thought, fine, young","12: old, house, little, book, never, thought, fine, young",0.05207897992540815,0.036902202022306284,0.005194024189363584,0.07810796282986683,0.0558084826295497,0.05114262171765197,0.006291276545327783,0.15076439842246692,0.0663573065308982,0.014490782250081002,0.03161115554024267,0.03263207672032699,0.01701603344394554,0.05308527082862458,0.009400569160807717,0.002586042344073955,0.003904427815968517,0.02455133028222541,0.001506446573128517,0.050881464820279394,0.07810796282986683,0.007892748129927228,0.013784441088998357,0.00395828848002926,auth_MELVILLE,genre_historical,title_REDBURN HIS FIRST VO
13,41646.35151267994,87.38061403785143,8.85,"could, lady, every, mrs, might, much, family, mother","13: could, lady, every, mrs, might, much, family, mother",0.007552517586470885,0.017119096759369647,0.24017464816973005,0.01582832074349836,0.04727503933740763,0.011699367695865152,0.2318447649591809,0.02458565688688515,0.01922497897356077,0.007700121150505575,0.006597849627817544,0.031431576215479394,0.15042687422381207,0.002311678185757646,0.326354640645217,0.3360598016610046,0.17626498250295108,0.0027679712920557257,0.2356253455234285,0.005315706755119666,0.01582832074349836,0.13558687725781338,0.2555000431138365,0.2947762126171837,auth_AUSTEN,genre_domestic,title_LADY SUSAN
14,3849.802869184182,8.819526330895727,6.96,"captain, could, little, well, think, home, go, friend","14: captain, could, little, well, think, home, go, friend",0.006100444805039071,0.00995288057431157,0.01020463668105291,0.006445173562770192,0.0029978247937867447,0.006490155460098451,0.00988890475991635,0.01176846813640049,0.001963116839000425,0.0013594980641298082,0.0025309100139571054,0.007987898741624385,0.006802879853323532,0.009446105450901451,0.0003894522594943359,0.02176018190149082,0.0003150433536168215,0.005710246870223528,0.00042528510918845333,0.015672677772946033,0.006445173562770192,0.0007158337030282957,0.08779463330027724,5.968153325461277e-05,auth_AUSTEN,genre_domestic,title_PERSUASION
15,2793.010664768855,14.325724774622003,7.01,"world, god, law, may, thing, things, judge, life","15: world, god, law, may, thing, things, judge, life",0.009520837743789368,0.024374753460725068,0.002863841276607393,9.633729714968131e-05,0.025139304570700155,0.01575598016116531,0.002793837238417638,0.005694453703876684,0.03140176694677256,0.001901830352104925,0.009798535319280972,0.053490816183137696,0.0021096042199822943,0.012207348164270939,0.016217095677448026,0.003308070791066632,0.0006869206575865752,0.00950017085399243,0.0015739379982573343,0.0017361405421390844,9.633729714968131e-05,0.0007904235317694009,0.001455143945841521,0.0027104709942837747,auth_MELVILLE,genre_gothic,title_THE CONFIDENCE MAN H
16,300.82003202923,4.56915889997294,8.03,"even, nothing, might, end, little, last, lady, came","16: even, nothing, might, end, little, last, lady, came",0.0027497132458978476,0.01037776822853472,0.00012111509466543025,9.633729714963524e-05,0.006958164837941419,0.0053301750074037,0.00011529983137662642,0.003957785457805473,0.008834400276362614,6.26267179099919e-05,0.00531983995034403,0.023606522086045204,5.846032245702779e-05,0.00013250819270416926,0.00033610793264003485,0.0003807906703072754,4.1174340520270065e-05,0.00017999241255015302,7.295904258724031e-05,0.0001354141332334706,9.633729714963524e-05,4.7354167768083084e-05,4.1809999370718096e-05,5.968153325459647e-05,auth_MELVILLE,genre_travel,title_THE CONFIDENCE MAN H
17,45739.97300546605,66.13048461043978,8.65,"mrs, miss, could, mr, said, room, much, lady","17: mrs, miss, could, mr, said, room, much, lady",0.004175728155251262,0.009442543455632998,0.1670556905699954,0.02154784990205232,0.07507078073395963,0.008675951375310874,0.17591594593241236,0.014648920447442117,0.024098346558833698,0.0048839171665571455,0.0008991977428364499,0.007959854312480783,0.2625177967328103,0.004005860554632973,0.033852244211868415,0.017988010380055677,0.21704728547645383,0.0029992227268953744,0.22536752737384516,0.012960047317977844,0.02154784990205232,0.2021242278582955,0.2503503773381657,0.15553962990089854,auth_AUSTEN,genre_domestic,title_NORTHANGER ABBEY
18,24642.164977952438,67.887595319289,8.57,"men, captain, ship, deck, war, ships, officers, sailors","18: men, captain, ship, deck, war, ships, officers, sailors",0.112380531677372,0.040639678965422935,0.001017785820368275,0.09422333403984808,0.0009378958348028214,0.0795028164067309,0.0009287466274483716,0.11190051178442019,0.001177040579388073,0.03359147434447694,0.014718844975306978,0.01618225932781283,5.8460322457057095e-05,0.4204600209530262,0.00033610793264028644,0.0003807906703073014,0.0018919345535583726,0.04526573055558018,0.0008848707902268157,0.07040561463002136,0.09422333403984808,4.735416776809821e-05,0.005597148460041952,5.968153325461749e-05,auth_MELVILLE,genre_sea,title_WHITE JACKET OR THE 
19,1765.5458375356473,7.352201195446613,5.96,"letter, write, read, hand, yet, london, thought, mind","19: letter, write, read, hand, yet, london, thought, mind",0.0034915192140407584,0.003287246661528041,0.009669073592391983,0.000994230409216224,0.013532556544591262,0.004987285690482081,0.009320384306996558,0.018339602507362385,0.015604751218628542,6.262671790999234e-05,0.000515601061273942,0.007109321010078577,0.00591222774329288,0.000690296049834779,0.05144072224970438,0.012228122330884904,0.0059963765353633625,0.0011717081561957749,0.007058170104754182,0.0004293245482776207,0.000994230409216224,0.0051432982016165925,0.0016538316101109452,0.003057022782331262,auth_AUSTEN,genre_gothic,title_LOVE AND FREINDSHIP 
20,5361.237764958797,17.211964176040293,7.03,"mother, love, father, life, world, fathers, yet, beauty","20: mother, love, father, life, world, fathers, yet, beauty",0.006642014601390779,0.0062911648779952825,0.010290205315265267,0.0069417453792143405,0.06392890710972102,0.016170762620410322,0.010379688469136292,0.010000033308053605,0.07825269993634562,0.002286547414135951,0.007928804328189674,0.010131369638401435,0.011254314134391812,0.0019080560045659483,0.0675064260635882,0.009655237062764959,0.00662065532555162,0.006081686594596563,0.004980874504474798,0.0037367571381741087,0.0069417453792143405,0.0014376429917446296,0.004146024096050871,0.006034270443505575,auth_MELVILLE,genre_gothic,title_PIERRE OR THE AMBIGU
21,20015.807403432285,68.71217911301513,8.59,"many, great, may, men, old, yet, much, years","21: many, great, may, men, old, yet, much, years",0.0855393980481771,0.05469502606080059,0.004940905412095906,0.0921639658257729,0.0719528628213534,0.07886339011267089,0.0050248428660025855,0.03968092528673775,0.08992949062909156,0.07136626541409112,0.10387915270084433,0.04041139729585476,0.005845263786445303,0.07912849334824823,0.018270604030141017,0.004157352318086908,0.00388970913609308,0.0898184701533628,0.004696572597715229,0.06345971448559627,0.0921639658257729,0.0012875142803919551,0.009352089809987267,0.0023937598049152487,auth_MELVILLE,genre_historical,title_MARDI AND A VOYAGE T
22,5907.141188546647,13.089729547112821,6.51,"sir, said, gentlemen, room, young, cried, hand, door","22: sir, said, gentlemen, room, young, cried, hand, door",0.009943781033275615,0.007428028164171194,0.012300223157459527,0.023588116480913343,0.015130945681800083,0.010845849232557199,0.011589094908500571,0.011900658924498857,0.017984184571333838,0.0006899825168452938,0.001204357413623648,0.013391241424222952,0.004638389765450132,0.02673762652142865,0.044791140161717695,0.012054507031979536,0.016161960775479746,0.009991008173903493,0.007315014377815042,0.003676861805688546,0.023588116480913343,0.0029084051797040322,0.015161073511547786,0.008238548421744698,auth_AUSTEN,genre_historical,title_LOVE AND FREINDSHIP 
23,12048.766817867727,42.039326922534954,7.84,"white, head, sea, round, deck, top, cried, every","23: white, head, sea, round, deck, top, cried, every",0.07227087563392663,0.015925023882654172,0.000707850924462854,0.022896681866111532,0.01085401598859218,0.049176220605893245,0.0007171838548672521,0.03692129871907603,0.013585717025723235,0.00860627691496921,0.04943675521146301,0.010044660115844492,0.0008084057230134665,0.10602735233078976,0.0011472354084305608,0.002190407328085979,4.117434052028807e-05,0.1020123584283278,7.295904258726105e-05,0.025413684076729323,0.022896681866111532,0.0008216443775545318,0.0007583519014570907,0.0005464144703024001,auth_MELVILLE,genre_sea,title_WHITE JACKET OR THE 
24,13499.994838383125,49.357135178317655,7.85,"thou, thee, thy, oh, yet, art, ye, god","24: thou, thee, thy, oh, yet, art, ye, god",0.04368163827716021,0.004656849980223002,0.000962164884209285,0.0017044352953623726,0.1799200297661374,0.05771188796774026,0.000904282651911491,0.00565488201355693,0.2287535953532184,0.003681474130603667,0.06432563683659764,0.009144855739558522,0.00033853051042014823,0.004475701795957721,0.009754732439392934,0.00038079067030744366,4.1174340520277505e-05,0.062141445710068896,7.295904258726515e-05,0.00013541413323349999,0.0017044352953623726,0.0005708286781264097,4.1809999370734414e-05,5.968153325461883e-05,auth_MELVILLE,genre_gothic,title_PIERRE OR THE AMBIGU
25,24266.70479410592,69.05180041342324,8.49,"little, could, sea, sailors, went, way, made, thought","25: little, could, sea, sailors, went, way, made, thought",0.08659294428917738,0.11133094217860282,0.00284510453742138,0.02544996297764713,0.006980411530620342,0.08010402829137113,0.002884360376520456,0.2394088958359562,0.007989912114217497,0.026138720126650306,0.0451236232200033,0.012548244710008791,0.0032680545457791704,0.08252481090374919,0.004249566841487601,0.00038079067030732976,0.0060661338532537615,0.061528753414536584,0.0010403932315243192,0.2550745802510397,0.02544996297764713,0.0008837419638651,0.010377783214422617,0.0018430727184497525,auth_MELVILLE,genre_travel,title_OMOO ADVENTURES IN T
26,19115.72358042325,77.34252408330522,8.44,"sea, us, land, came, still, seemed, far, air","26: sea, us, land, came, still, seemed, far, air",0.12378726984006444,0.0441742968860643,0.0006343220699863736,0.11767878881861733,0.017986864206311102,0.09076295556012139,0.0005808738239582041,0.06466931365129049,0.022862131929113513,0.025690754438910935,0.2321826583368714,0.015432932393441949,5.8460322457065145e-05,0.03218875209962216,0.0003361079326402374,0.00038079067030731404,0.0006955823990270677,0.06510004852099012,7.295904258727456e-05,0.08338360478288416,0.11767878881861733,0.0004220804167936209,0.004353484291766741,5.968153325463024e-05,auth_MELVILLE,genre_sea,title_MARDI AND A VOYAGE T
27,17142.287136055405,29.378363950150906,7.54,"mr, miss, good, thing, well, think, little, know","27: mr, miss, good, thing, well, think, little, know",0.00391730991024716,0.009529954263518275,0.07480174215841212,0.001291515492035115,0.01893094961881347,0.005920815047042024,0.0728912310184585,0.009117844470507463,0.00933547726808493,0.000536167345012999,0.002595504104008918,0.01867030766803323,0.05421752536020234,0.00471014564508706,0.04675105577219143,0.04078752764340502,0.03568870025084261,0.0023170892501810955,0.08090297458119455,0.003226990224772349,0.001291515492035115,0.1888788512554104,0.05921263026052318,0.028260697905864877,auth_AUSTEN,genre_domestic,title_EMMA
28,21378.784988787236,55.17754775073873,8.71,"us, could, two, side, soon, little, house, might","28: us, could, two, side, soon, little, house, might",0.037521727090202295,0.13473965332704438,0.010013804041214264,0.1058561996148673,0.018313451206252523,0.06051619499166008,0.011193958107268585,0.030608946646119087,0.01711272843479675,0.3588110666551594,0.06279088933107896,0.015643507822239524,0.022729012365799623,0.019217026729434084,0.03655101292292675,0.0011581201525105202,0.01101363313311788,0.01792565948772571,0.007513705947741895,0.17254727579383114,0.1058561996148673,0.004421315677709426,0.008236805909869875,0.013632584615438766,auth_MELVILLE,genre_travel,title_TYPEE A ROMANCE OF T
29,8137.515448100167,22.407836532207003,7.68,"old, go, bed, two, see, night, room, dont","29: old, go, bed, two, see, night, room, dont",0.022529144423987582,0.015096325821963673,0.0037855553885418323,0.07002418381327752,0.03398729325469003,0.02459702013931129,0.004492123993390398,0.014521027850051734,0.04012992448127926,0.009223434119983293,0.004562319576372665,0.02749199689252418,0.011398262292394157,0.019079994350205094,0.0039027944854217113,0.0003807906703074131,0.006682995794510465,0.054742809241667974,0.000863190459562622,0.003926422425828149,0.07002418381327752,0.004169083227817971,0.001827305601588278,0.007823009389150403,auth_MELVILLE,genre_historical,title_ISRAEL POTTER HIS FI
