topic_id,phi_sum,theta_sum,h,top_terms,label,genre_historical,genre_gothic,genre_sea,genre_travel,genre_domestic,auth_AUSTEN,auth_MELVILLE,title_REDBURN HIS FIRST VO,title_THE CONFIDENCE MAN H,title_NORTHANGER ABBEY,title_MANSFIELD PARK,title_EMMA,title_TYPEE A ROMANCE OF T,title_WHITE JACKET OR THE ,title_LOVE AND FREINDSHIP ,title_MOBY DICK OR THE WHA,title_PIERRE OR THE AMBIGU,title_LADY SUSAN,title_SENSE AND SENSIBILIT,title_OMOO ADVENTURES IN T,title_PERSUASION,title_MARDI AND A VOYAGE T,title_ISRAEL POTTER HIS FI,title_PRIDE AND PREJUDICE,author,genre,title,0,1
17,47526.54319780437,66.52180555234898,8.67,mrs miss mr could said much well,17: mrs miss mr could said much well,0.0065969510002954045,0.06524769330792435,0.004334356223895684,0.0068382931751671755,0.1758874678910492,0.18243861669085873,0.006573303032473047,0.013073817910859464,0.006208909314401072,0.24647081302447998,0.2629240098789291,0.21757691880127702,0.0003416636046173831,0.002398881895837544,0.028928747385430928,0.004997428283780214,0.01596772215693115,0.01696326708049564,0.1393754652376313,0.010222804795504291,0.2506264503959322,0.0012824674153526642,0.0065969510002954045,0.23497094760318823,auth_AUSTEN,genre_domestic,title_MANSFIELD PARK,-1.6577369,-2.8384237
18,26851.297165348627,72.52666389861355,8.61,captain ship men deck ships sailors sea,18: captain ship men deck ships sailors sea,0.0852913463519103,0.0009202696017152895,0.11646300009149708,0.05494620561272268,0.0006288813617798139,0.0005745816021449352,0.08509971016882016,0.12823684205145477,0.014144361215011128,4.384524184273065e-05,0.0008104156449208719,3.551562582602815e-05,0.03311276985985535,0.4083393376385834,0.00025208094947989343,0.054802946443884025,0.0011585955241367747,0.000285593002730192,4.4761149940907706e-05,0.1087816057516439,0.005265106360324435,0.017684049712840533,0.0852913463519103,5.4719281940379655e-05,auth_MELVILLE,genre_sea,title_WHITE JACKET OR THE ,-0.77561665,-0.84286445
19,1639.3265391237069,5.338262723882031,5.51,letter read write hand yet dear fate,19: letter read write hand yet dear fate,0.00113476743365039,0.012525568732185903,0.002437999125928631,0.0025416928101205222,0.005747571807853447,0.005730458406756864,0.004028576018853233,0.010772446472412026,0.005392630588495372,0.005563188712167682,0.004986882495824828,0.005478034304599729,0.00011856822404464889,0.0010333729167810563,0.00826252486314049,0.0015125014478852275,0.014418847509559277,0.011089118189197965,0.00272736715219291,0.0004173249549112869,0.0016195726619264957,0.00042188321713818445,0.00113476743365039,0.006109171594404065,auth_AUSTEN,genre_gothic,title_PIERRE OR THE AMBIGU,0.12964559,-2.1155496
20,5896.154958001229,17.9606507654978,7.17,love mother brother father world sister heart,20: love mother brother father world sister heart,0.008268556682825478,0.08280526664091965,0.00485443905432831,0.004527584468545468,0.007776141344160577,0.008241734156493602,0.01789166065556345,0.007459009495123124,0.007189943994714761,0.012792528418974413,0.00770089024938361,0.001860762802578186,0.0006863592729309604,0.003887841652241011,0.04109051084469389,0.0033519229270546668,0.10184381826267673,0.009129444967994033,0.006214228995358046,0.0031981856794681116,0.0025342169214086657,0.00533196568086062,0.008268556682825478,0.0024946554315790972,auth_MELVILLE,genre_gothic,title_PIERRE OR THE AMBIGU,-0.14081818,-2.3456624
21,15753.925506935957,56.80562154574087,8.28,king many men great much among people,21: king many men great much among people,0.07434189517884049,0.022121116164785088,0.07902431813700884,0.05154597785355708,0.004036716406832255,0.004083279135617177,0.06522565448758205,0.03404914198326584,0.023951615211543487,0.004538392258902088,0.005071978204027177,0.002012993919236847,0.05223485970560957,0.04904358978039373,0.011063746012015327,0.05272757659705502,0.02690238319182344,0.0011768695993006073,0.002841937704302197,0.08154683949759906,0.006129864519628548,0.12976914419503005,0.07434189517884049,0.004360004268409076,auth_MELVILLE,genre_sea,title_MARDI AND A VOYAGE T,-0.6372484,-1.5518832
22,4222.244679649609,9.739280357614481,5.3,sir said mr young gentlemen hand life,22: sir said mr young gentlemen hand life,0.011714791395123273,0.005878735262016402,0.007709571606972194,0.008894230094831373,0.00944039095416332,0.00886074984639989,0.007976223422255183,0.0060229562185722335,0.018387460395733565,0.0031952254705186066,0.016545523702029708,0.002391198057936447,0.0004570794135569654,0.019025214701490413,0.015986591454076066,0.007688438294657457,0.006608461608827205,0.012535343921298276,0.00570287653676822,0.001973161754369584,0.016586582513110786,0.003060511261838655,0.011714791395123273,0.005801447957433337,auth_AUSTEN,genre_historical,title_WHITE JACKET OR THE ,0.9031358,-2.6081386
23,9714.402880478608,31.483914387845477,7.57,deck head top mast sea cried men,23: deck head top mast sea cried men,0.03341295815260333,0.0077759905486711545,0.052227096137184355,0.015085792378634279,0.00025195808965519005,0.00023264222653487197,0.03694848456962686,0.03569769798558698,0.007497855964396642,4.384524184273065e-05,3.088075539016887e-05,0.00018306929703780693,0.0026266169331998802,0.08488910018789263,0.00025208094947989343,0.08204913963613138,0.009878591465440288,0.000285593002730192,0.0003900445550127492,0.028580014847245965,0.001008035571719134,0.022324258600285682,0.03341295815260333,5.4719281940379655e-05,auth_MELVILLE,genre_sea,title_WHITE JACKET OR THE ,-0.33826753,-1.5507314
24,2596.2719264644456,9.7554502715986,6.76,night hours bed four watch sleep sailor,24: night hours bed four watch sleep sailor,0.002377873290396926,0.013624867845474639,0.011719842646910285,0.0071793209428435934,0.0011274616816581017,0.0011965343864076005,0.01100683269004525,0.012455817287797334,0.008568215118820872,0.0018716643715397984,0.000727264127151407,0.0015591065401373788,0.006166228878337274,0.018367025671462686,0.0016662051269991478,0.014999736630051469,0.016820914404176216,0.0007356286269344517,0.0017411717784834232,0.0060749874593711665,0.0017136309493684066,0.00596819018577442,0.002377873290396926,0.00037091677492256465,auth_MELVILLE,genre_gothic,title_WHITE JACKET OR THE ,-0.025841624,-2.0361822
25,15400.651493891959,41.39105106146995,8.04,little thought sea could sailors going went,25: little thought sea could sailors going went,0.014098218006518582,0.0036581150661056556,0.059387513608352156,0.04802022339104394,0.002362663785981771,0.0022831321305241416,0.04779821756455869,0.19961498912496228,0.00835298788910809,0.0015057743368576317,0.006581789298852884,0.0018972913305206115,0.01020980090799864,0.04078667201068297,0.002592495853566192,0.045247700774653406,0.004243400703006434,0.000285593002730192,0.001207197474994212,0.10723492533735829,0.004872980314654437,0.02207894185317496,0.014098218006518582,0.0007273705365567415,auth_MELVILLE,genre_sea,title_REDBURN HIS FIRST VO,-0.83915377,-1.8251523
26,18444.43185661322,76.92117316422552,8.28,sea still seemed yet white last far,26: sea still seemed yet white last far,0.07605198835444893,0.05315353407011026,0.1265784704897142,0.015704215580561853,0.0008464289523671557,0.000771937649893332,0.09019217175195429,0.05903614846189575,0.014942164083190115,4.384524184273065e-05,3.088075539016887e-05,0.0014893275301933729,0.005874673559091652,0.04348996860579759,0.0009848784423345984,0.09357902991150985,0.06759564243569179,0.001817521486049461,0.0009710555306996717,0.020616277330481905,0.0009594402446033093,0.21614957865013695,0.07605198835444893,5.4719281940379655e-05,auth_MELVILLE,genre_sea,title_MARDI AND A VOYAGE T,-0.76126045,-1.3330562
