term_str,n,n_chars,p,i,h
brighter,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
brightness,3,10,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
brilliancy,3,10,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
brilliant,3,9,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
bring,29,5,0.00014159879689849809,12.785903372009502,0.0018104685347369953
bringing,24,8,0.00011718521122634323,13.058921866415917,0.0015303125173042615
brings,4,6,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
bristol,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
broad,2,5,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
broader,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
broadest,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
broke,7,5,3.417901994101678e-05,14.836529445079469,0.0005070980357588538
broken,19,6,9.277162555418839e-05,13.395956853693487,0.0012427646931709158
brood,1,5,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
brooding,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
broodings,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
brook,1,5,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
brother,115,7,0.0005615124704595613,10.798394316192699,0.006063433069481847
brotherliness,1,13,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
brothers,4,8,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
brought,91,7,0.0004443272592332181,11.136089726938376,0.004948068226945725
brow,3,4,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
brown,4,5,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
bruise,1,6,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
bruised,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
bruises,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
brush,1,5,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
build,8,5,3.9061737075447746e-05,14.643884367137073,0.0005720155609123678
building,5,8,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
buildings,20,9,9.765434268861937e-05,13.321956272249711,0.0013009468830930755
built,5,5,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
bulk,1,4,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
bulky,1,5,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
burden,1,6,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
burgess,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
buried,2,6,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
burn,1,4,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
burnt,1,5,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
burst,21,5,0.00010253705982305033,13.251566944358313,0.0013587767125228247
bursting,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
bursts,2,6,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
bury,1,4,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
bush,1,4,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
busily,3,6,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
business,71,8,0.00034667291654459875,11.494137247632391,0.003984706082800628
bustle,4,6,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
bustles,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
bustling,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
busy,11,4,5.370988847874065e-05,14.184452748499776,0.0007618453752538893
but,1550,3,0.007568211558368,7.045831866975473,0.05332434617396137
butcher,3,7,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
butler,2,6,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
buy,11,3,5.370988847874065e-05,14.184452748499776,0.0007618453752538893
buying,1,6,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
buzz,2,4,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
by,1167,2,0.00569813089588094,7.455295521429726,0.04248124974858152
bye,6,3,2.9296302806585808e-05,15.058921866415917,0.000441170734939237
byron,3,5,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
c,10,1,4.8827171344309684e-05,14.321956272249711,0.0006993006128908475
cake,1,4,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
calculate,2,9,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
calculated,8,10,3.9061737075447746e-05,14.643884367137073,0.0005720155609123678
calculates,1,10,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
calculation,1,11,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
calculations,4,12,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
call,55,4,0.00026854944239370325,11.862524653612414,0.003185674381109172
called,73,6,0.0003564383508134607,11.454059808257057,0.004082666188173889
callers,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
calling,26,7,0.00012695064549520516,12.943444648995982,0.001643178653121499
calls,2,5,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
calm,23,4,0.00011230249409191226,13.12032241108006,0.0014734449300543026
calmer,6,6,2.9296302806585808e-05,15.058921866415917,0.000441170734939237
calming,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
calmly,10,6,4.8827171344309684e-05,14.321956272249711,0.0006993006128908475
calmness,21,8,0.00010253705982305033,13.251566944358313,0.0013587767125228247
camden,29,6,0.00014159879689849809,12.785903372009502,0.0018104685347369953
came,157,4,0.000766586590105662,10.349263618245446,0.007933606707215362
can,325,3,0.0015868830686900646,9.299588459221257,0.014757359471723738
canal,2,5,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
candid,4,6,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
candidly,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
candlelight,1,11,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
candles,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
candour,2,7,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
cannot,131,6,0.0006396359446104569,10.610461365599622,0.006786832478338073
cant,1,4,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
canvass,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
canvassed,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
canvassing,1,10,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
cap,4,3,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
capability,1,10,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
capable,27,7,0.00013183336262963613,12.888996864973604,0.0016991997976323085
cape,3,4,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
capes,1,5,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
capital,2,7,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
caprice,2,7,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
captain,303,7,0.0014794632917325833,9.400710383664123,0.0139080059288404
captains,2,8,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
captiously,1,10,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
captivate,2,9,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
captivating,3,11,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
captures,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
card,25,4,0.00012206792836077421,13.00002817736235,0.0015868865082423133
cards,12,5,5.8592605613171615e-05,14.058921866415917,0.0008237488642653024
care,55,4,0.00026854944239370325,11.862524653612414,0.003185674381109172
cared,5,5,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
careful,11,7,5.370988847874065e-05,14.184452748499776,0.0007618453752538893
carefully,5,9,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
carefulness,1,11,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
careless,10,8,4.8827171344309684e-05,14.321956272249711,0.0006993006128908475
carelessly,2,10,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
carelessness,3,12,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
cares,8,5,3.9061737075447746e-05,14.643884367137073,0.0005720155609123678
caressed,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
caresses,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
caressing,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
careys,4,6,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
caricature,1,10,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
caring,1,6,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
carpentered,1,11,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
carpet,3,6,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
carriage,67,8,0.0003271420480068749,11.5777951766793,0.0037875836255029842
carriages,6,9,2.9296302806585808e-05,15.058921866415917,0.000441170734939237
carried,23,7,0.00011230249409191226,13.12032241108006,0.0014734449300543026
carries,2,7,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
carry,10,5,4.8827171344309684e-05,14.321956272249711,0.0006993006128908475
carrying,9,8,4.394445420987871e-05,14.47395936569476,0.0006360502445814185
cart,1,4,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
carteret,12,8,5.8592605613171615e-05,14.058921866415917,0.0008237488642653024
carts,1,5,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
cartwright,1,10,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
case,61,4,0.00029784574520028904,11.713147029574188,0.003488711005664076
casement,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
casements,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
cases,7,5,3.417901994101678e-05,14.836529445079469,0.0005070980357588538
cash,2,4,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
casino,1,6,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
cassino,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
cast,5,4,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
casts,1,5,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
catalogue,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
catastrophe,1,11,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
catch,10,5,4.8827171344309684e-05,14.321956272249711,0.0006993006128908475
catching,12,8,5.8592605613171615e-05,14.058921866415917,0.0008237488642653024
cats,1,4,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
caught,27,6,0.00013183336262963613,12.888996864973604,0.0016991997976323085
cause,21,5,0.00010253705982305033,13.251566944358313,0.0013587767125228247
caused,1,6,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
causes,1,6,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
caution,13,7,6.347532274760258e-05,13.943444648995982,0.0008850646493083522
cautious,6,8,2.9296302806585808e-05,15.058921866415917,0.000441170734939237
cautiously,1,10,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
cautiousness,1,12,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
cavil,2,5,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
cease,8,5,3.9061737075447746e-05,14.643884367137073,0.0005720155609123678
ceased,18,6,8.788890841975742e-05,13.47395936569476,0.0011842115807430796
ceaseless,4,9,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
ceasing,2,7,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
ceiling,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
celebrated,1,10,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
celebration,1,11,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
cellars,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
censure,12,7,5.8592605613171615e-05,14.058921866415917,0.0008237488642653024
censured,2,8,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
centered,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
centre,4,6,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
century,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
ceremonious,1,11,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
ceremony,11,8,5.370988847874065e-05,14.184452748499776,0.0007618453752538893
certain,44,7,0.0002148395539149626,12.184452748499776,0.002617702393185632
certainly,109,9,0.0005322161676529756,10.875700042360148,0.005788223397088222
certainties,1,11,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
certainty,9,9,4.394445420987871e-05,14.47395936569476,0.0006360502445814185
certify,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
cessation,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
chagrined,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
chained,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
chair,16,5,7.812347415089549e-05,13.643884367137073,0.0010659076476738402
chairs,2,6,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
chaise,12,6,5.8592605613171615e-05,14.058921866415917,0.0008237488642653024
chamber,6,7,2.9296302806585808e-05,15.058921866415917,0.000441170734939237
chambers,2,8,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
chance,32,6,0.00015624694830179098,12.643884367137073,0.0019755683470458895
chanced,5,7,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
chances,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
chancing,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
change,63,6,0.00030761117946915097,11.666604443637157,0.0035887779533072635
changed,16,7,7.812347415089549e-05,13.643884367137073,0.0010659076476738402
changes,5,7,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
changing,2,8,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
channel,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
chaperon,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
character,83,9,0.00040526552215777034,11.268844935790149,0.004566874327017941
characteristic,1,14,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
characters,6,10,2.9296302806585808e-05,15.058921866415917,0.000441170734939237
charge,11,6,5.370988847874065e-05,14.184452748499776,0.0007618453752538893
charged,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
chariot,2,7,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
charitable,2,10,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
charities,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
charity,4,7,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
charles,166,7,0.0008105310443155407,10.268844935790149,0.008323217609720341
charlotte,24,9,0.00011718521122634323,13.058921866415917,0.0015303125173042615
charm,13,5,6.347532274760258e-05,13.943444648995982,0.0008850646493083522
charmed,4,7,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
charming,21,8,0.00010253705982305033,13.251566944358313,0.0013587767125228247
charmouth,2,9,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
charms,9,6,4.394445420987871e-05,14.47395936569476,0.0006360502445814185
chasms,1,6,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
chat,6,4,2.9296302806585808e-05,15.058921866415917,0.000441170734939237
chatted,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
chattering,1,10,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
chatty,1,6,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
cheap,2,5,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
cheat,1,5,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
cheated,2,7,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
check,5,5,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
checked,7,7,3.417901994101678e-05,14.836529445079469,0.0005070980357588538
checking,6,8,2.9296302806585808e-05,15.058921866415917,0.000441170734939237
cheek,2,5,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
cheeks,11,6,5.370988847874065e-05,14.184452748499776,0.0007618453752538893
cheer,1,5,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
cheered,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
cheerful,23,8,0.00011230249409191226,13.12032241108006,0.0014734449300543026
cheerfuller,1,11,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
cheerfullest,1,12,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
cheerfully,3,10,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
cheerfulness,22,12,0.0001074197769574813,13.184452748499776,0.0014162709735502973
cheerless,3,9,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
cherish,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
cherished,2,9,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
cherishing,1,10,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
cherries,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
cheshire,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
chick,1,5,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
chicken,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
chief,10,5,4.8827171344309684e-05,14.321956272249711,0.0006993006128908475
chiefly,9,7,4.394445420987871e-05,14.47395936569476,0.0006360502445814185
child,65,5,0.0003173766137380129,11.621516554108618,0.0036883975704432538
children,68,8,0.00033202476514130583,11.556421525886734,0.003837018143006474
chill,1,5,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
chimney,2,7,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
china,5,5,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
choice,18,6,8.788890841975742e-05,13.47395936569476,0.0011842115807430796
choicest,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
choked,1,6,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
choose,7,6,3.417901994101678e-05,14.836529445079469,0.0005070980357588538
chooses,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
choosing,2,8,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
chose,12,5,5.8592605613171615e-05,14.058921866415917,0.0008237488642653024
chosen,4,6,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
christian,5,9,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
christmas,8,9,3.9061737075447746e-05,14.643884367137073,0.0005720155609123678
chuckle,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
church,12,6,5.8592605613171615e-05,14.058921866415917,0.0008237488642653024
chuse,7,5,3.417901994101678e-05,14.836529445079469,0.0005070980357588538
chusing,3,7,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
circle,10,6,4.8827171344309684e-05,14.321956272249711,0.0006993006128908475
circles,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
circuit,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
circumspection,1,14,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
circumstance,37,12,0.0001806605339739458,12.434431001508123,0.0022464109443946436
circumstanced,1,13,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
circumstances,54,13,0.00026366672525927225,11.888996864973604,0.0031347328700053446
circumventing,1,13,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
city,1,4,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
civil,21,5,0.00010253705982305033,13.251566944358313,0.0013587767125228247
civilities,8,10,3.9061737075447746e-05,14.643884367137073,0.0005720155609123678
civility,24,8,0.00011718521122634323,13.058921866415917,0.0015303125173042615
civilly,2,7,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
claim,16,5,7.812347415089549e-05,13.643884367137073,0.0010659076476738402
claimed,4,7,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
claiming,2,8,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
claims,20,6,9.765434268861937e-05,13.321956272249711,0.0013009468830930755
clamorous,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
clamour,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
clapped,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
clarke,1,6,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
class,4,5,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
classed,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
clay,66,4,0.0003222593308724439,11.59949024777862,0.0037380439657105765
cleansed,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
clear,22,5,0.0001074197769574813,13.184452748499776,0.0014162709735502973
cleared,8,7,3.9061737075447746e-05,14.643884367137073,0.0005720155609123678
clearer,2,7,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
clearing,2,8,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
clearly,3,7,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
clemency,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
clergyman,5,9,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
clerk,1,5,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
clerks,1,6,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
cleveland,27,9,0.00013183336262963613,12.888996864973604,0.0016991997976323085
clever,12,6,5.8592605613171615e-05,14.058921866415917,0.0008237488642653024
cliff,1,5,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
cliffs,2,6,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
clifton,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
climate,3,7,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
climbing,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
climes,1,6,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
cling,1,5,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
clinging,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
clink,1,5,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
clock,17,5,8.300619128532646e-05,13.556421525886734,0.0011252669183222713
clogged,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
close,16,5,7.812347415089549e-05,13.643884367137073,0.0010659076476738402
closed,12,6,5.8592605613171615e-05,14.058921866415917,0.0008237488642653024
closely,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
closer,2,6,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
closet,3,6,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
closing,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
clothe,1,6,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
clothes,6,7,2.9296302806585808e-05,15.058921866415917,0.000441170734939237
cloud,1,5,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
clouded,2,7,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
clouds,3,6,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
club,1,4,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
clue,1,4,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
clumsy,1,6,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
cluster,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
coach,6,5,2.9296302806585808e-05,15.058921866415917,0.000441170734939237
coachmaker,1,10,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
coachman,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
coarse,2,6,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
coarseness,1,10,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
coat,4,4,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
coats,1,5,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
cobb,14,4,6.835803988203356e-05,13.836529445079469,0.0009458380316356741
cockleshell,1,11,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
cod,1,3,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
coffee,1,6,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
coincide,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
cold,37,4,0.0001806605339739458,12.434431001508123,0.0022464109443946436
colder,1,6,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
coldness,7,8,3.417901994101678e-05,14.836529445079469,0.0005070980357588538
colicky,2,7,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
collar,2,6,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
collation,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
collect,6,7,2.9296302806585808e-05,15.058921866415917,0.000441170734939237
collected,12,9,5.8592605613171615e-05,14.058921866415917,0.0008237488642653024
collecting,3,10,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
collection,2,10,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
collections,1,11,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
collects,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
colonel,199,7,0.0009716607097517626,10.007259746593425,0.009723661108045211
colonnade,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
colour,14,6,6.835803988203356e-05,13.836529445079469,0.0009458380316356741
coloured,8,8,3.9061737075447746e-05,14.643884367137073,0.0005720155609123678
colouring,4,9,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
columella,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
combat,3,6,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
combe,16,5,7.812347415089549e-05,13.643884367137073,0.0010659076476738402
come,177,4,0.0008642409327942813,10.176278817054076,0.0087947566972255
comer,1,5,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
comes,15,5,7.324075701646453e-05,13.736993771528555,0.0010061078229572095
comfort,84,7,0.00041014823929220133,11.251566944358313,0.004614810371506896
comfortable,44,11,0.0002148395539149626,12.184452748499776,0.002617702393185632
comfortably,5,11,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
comforted,2,9,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
comforter,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
comforters,1,10,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
comfortless,1,11,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
comforts,8,8,3.9061737075447746e-05,14.643884367137073,0.0005720155609123678
coming,70,6,0.00034179019941016776,11.514601350192107,0.003935577891610747
comings,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
command,21,7,0.00010253705982305033,13.251566944358313,0.0013587767125228247
commanded,6,9,2.9296302806585808e-05,15.058921866415917,0.000441170734939237
commander,2,9,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
commanders,1,10,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
commanding,1,10,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
commands,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
commendation,8,12,3.9061737075447746e-05,14.643884367137073,0.0005720155609123678
commended,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
comment,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
comments,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
commercial,1,10,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
commiseration,1,13,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
commission,6,10,2.9296302806585808e-05,15.058921866415917,0.000441170734939237
