term_str,n,n_chars,p,i,h
alluded,6,7,2.9296302806585808e-05,15.058921866415917,0.000441170734939237
allusion,2,8,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
allusions,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
almost,145,6,0.0007079939844924904,10.463975277122138,0.007408431550080614
alone,53,5,0.0002587840081248413,11.915963912573874,0.0030836609019668335
along,23,5,0.00011230249409191226,13.12032241108006,0.0014734449300543026
aloud,5,5,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
alphabet,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
already,69,7,0.0003369074822757368,11.535359910358904,0.0038863490645434876
also,23,4,0.00011230249409191226,13.12032241108006,0.0014734449300543026
altar,2,5,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
alter,5,5,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
alteration,18,10,8.788890841975742e-05,13.47395936569476,0.0011842115807430796
alterations,2,11,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
altered,19,7,9.277162555418839e-05,13.395956853693487,0.0012427646931709158
altering,2,8,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
alternately,2,11,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
alternative,1,11,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
alternatives,1,12,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
although,5,8,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
altogether,28,10,0.00013671607976406712,12.836529445079469,0.001754959983507281
always,234,6,0.0011425558094568466,9.77351964755367,0.011166791652153077
am,410,2,0.002001914025116697,8.964404267631627,0.017945966630187726
amazement,13,9,6.347532274760258e-05,13.943444648995982,0.0008850646493083522
amazing,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
amazingly,2,9,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
ambition,3,8,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
ambitious,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
